,Crime_ID,Theft_Type
1036,1574,Theft of Vehicle
1037,1575,Theft from Vehicle
1038,1576,Theft of Vehicle
1039,1577,Theft from Vehicle
1040,1578,Theft from Vehicle
1041,1579,Theft from Vehicle
1042,1580,Theft from Vehicle
1043,1581,Theft from Vehicle
1044,1582,Theft from Vehicle
1045,1583,Theft from Vehicle
1046,1584,Theft from Vehicle
1047,1585,Theft from Vehicle
1048,1586,Theft from Vehicle
1050,1588,Theft of Bicycle
1051,1590,Theft of Vehicle
1052,1591,Theft from Vehicle
1053,1592,Theft from Vehicle
1054,1593,Theft from Vehicle
1055,1594,Other Theft
1056,1595,Theft from Vehicle
1057,1599,Theft of Vehicle
1058,1600,Theft of Bicycle
1059,1601,Theft from Vehicle
1060,1602,Theft from Vehicle
1063,1607,Theft from Vehicle
1065,1609,Theft of Vehicle
1066,1610,Theft from Vehicle
1069,1616,Theft of Vehicle
1070,1620,Theft from Vehicle
1071,1621,Theft from Vehicle
1072,1622,Theft of Vehicle
1073,1623,Theft of Vehicle
1074,1625,Theft of Vehicle
1075,1626,Theft of Vehicle
1077,1628,Theft of Vehicle
1078,1633,Theft from Vehicle
1079,1634,Theft of Vehicle
1081,1637,Theft from Vehicle
1082,1638,Theft of Vehicle
1083,1639,Theft of Vehicle
1084,1640,Theft from Vehicle
1085,1641,Theft of Vehicle
1086,1642,Theft from Vehicle
1087,1644,Theft from Vehicle
1089,1649,Theft from Vehicle
1090,1651,Theft from Vehicle
1091,1652,Theft from Vehicle
1092,1654,Theft from Vehicle
1093,1655,Theft of Vehicle
1094,1656,Theft of Vehicle
1095,1657,Theft from Vehicle
1096,1658,Theft of Vehicle
1097,1659,Theft from Vehicle
1098,1661,Theft of Vehicle
1099,1662,Theft of Vehicle
1100,1665,Theft from Vehicle
1101,1666,Theft from Vehicle
1102,1669,Theft from Vehicle
1104,1671,Theft from Vehicle
1106,1673,Theft from Vehicle
1108,1676,Theft from Vehicle
1110,1681,Theft from Vehicle
1111,1683,Theft from Vehicle
1112,1686,Theft from Vehicle
1113,1687,Theft from Vehicle
1114,1688,Theft from Vehicle
1115,1690,Theft from Vehicle
1116,1691,Theft from Vehicle
